state_abbr,state_name,total_orders
SP,Sao Paulo,40494
RJ,Rio de Janeiro,12350
MG,Minas Gerais,11354
RS,Rio Grande do Sul,5344
PR,Parana,4923
SC,Santa Catarina,3546
BA,Bahia,3256
DF,Distrito Federal,2080
ES,Espirito Santo,1995
GO,Goias,1957
PE,Pernambuco,1593
CE,Ceara,1279
PA,Para,946
MT,Mato Grosso,886
MA,Maranhao,717
MS,Mato Grosso do Sul,701
PB,Paraiba,517
PI,Piaui,476
RN,Rio Grande do Norte,474
AL,Alagoas,397
SE,Sergipe,335
TO,Tocantins,274
RO,Rondonia,243
AM,Amazonas,145
AC,Acre,80
AP,Amapa,67
RR,Roraima,41
